Tariff item number,,,Description of goods,Product specific rules
,55.14,,"Woven fabrics of synthetic staple fibers, containing less than 85 % by weight of such fibers, mixed mainly or solely with cotton, of a weight exceeding 170 g/m２.",
,55.15,,Other woven fabrics of synthetic staple fibers.,
,55.16,,Woven fabrics of artificial staple fibers.,
,,,,
,,,,heading 55.12 through 55.16 is woven entirely in either Party or a non-Party which is a Member State of the ASEAN.
Chapter 56,,,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables
 and articles thereof",
,56.01,,"Wadding of textile materials and articles thereof; textile fibers, not exceeding 5 mm in length (flock), textile dust and mill neps.","CC except from heading 50.04 through 50.07, 51.06 through
 51.13, 52.04 through 52.12, 53.06 through
 53.11, 55.08 through 55.16 or Chapter 54."
,56.02,,"Felt, whether or not impregnated, coated, covered or laminated.",
,56.03,,"Nonwovens, whether or not impregnated, coated, covered or laminated.",
,56.04,,"Rubber thread and cord, textile covered; textile yarn, and strip and the like of heading 54.04 or 54.05, impregnated, coated, covered or sheathed with rubber or plastics.","CC, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in either Party or a non-Party which is a Member State the ASEAN."
,56.05,5605,"Metalized yarn, whether or not gimped, being textile yarn, or strip or the like of heading 54.04 or 54.05, combined with metal in the form of thread, strip or powder or covered with metal.",
,56.06,5606,"Gimped yarn, and strip and the like of heading 54.04 or 54.05, gimped (other than those of heading 56.05 and gimped horsehair yarn); chenille yarn (including flock chenille yarn); loop wale-yarn.",
,56.07,,"Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics.",
,56.08,,"Knotted netting of twine, cordage or rope; made up fishing nets and other made up nets, of textile materials.",
,56.09,5609,"Articles of yarn, strip or the like of heading 54.04 or 54.05, twine, cordage, rope or cables, not elsewhere specified or included.",
Chapter 57,,,"Carpets and other textile floor
 coverings","CC, except from heading 50.07, 51.11"
,,,,
,,,,"through 51.13, 52.08 through
 52.12, 53.09 through 53.11, 54.07, 54.08, or 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in either Party or a non-Party which is a Member State of the ASEAN."
Chapter 58,,,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,"CC, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in either"
,,,,
,,,,Party or a non-Party which is a Member State of the ASEAN.
Chapter 59,,,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for
 industrial use",
,59.01,,"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like;tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind used for hat foundations.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11, 54.07, 54.08, or 55.12 through 55.16."
,59.02,,"Tire cord fabric of high tenacity yarn of nylon or other polyamides, polyesters or viscose rayon.","CTH, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11, 54.07, 54.08, or 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in either Party or a non-Party which is a Member State"
,,,,
,,,,of the ASEAN.
,59.03,,"Textile fabrics impregnated, coated, covered or laminated with plastics, other than those of heading 59.02.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11, 54.07, 54.08, or 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in either Party or a non-Party which is a Member State of the ASEAN."
,59.04,,"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering applied on a textile backing, whether or not cut to shape.",
,59.05,5905,Textile wall coverings.,
,59.06,,"Rubberized textile fabrics, other than those of heading 59.02.",
,59.07,5907,"Textile fabrics otherwise impregnated, coated or covered; painted canvas being theatrical scenery, studio back-cloths or the like.",
,59.08,5908,"Textile wicks, woven, plaited or knitted, for lamps, stoves, lighters, candles or the like; incandescent gas mantles and tubular knitted gas mantle fabric therefor, whether or not impregnated.",
,59.09,5909,"Textile hosepiping and similar textile tubing, with or without lining, armor or accessories of other materials.",
,59.1,5910,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, orreinforced with metal or other material.","CTH, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11, 54.07, 54.08, or 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through"
,,,,
,,,,"51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in either Party or a non-Party which is a Member State of the ASEAN."
,59.11,,"Textile products and articles, for technical uses, specified in Note 7 to this Chapter.","CC, except from heading 50.07, 51.11 through 51.13, 52.08 through
 52.12, 53.09 through 53.11, 54.07, 54.08, or 55.12 through 55.16, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun entirely in either Party or a non-Party which is a Member State of the ASEAN."
,,,,
Chapter 60,,,Knitted or crocheted fabrics,"CC, provided that, where non- originating materials of heading 50.04 through 50.06, 51.06 through
 51.10, 52.04 through 52.07, 53.06 through
 53.08, 54.01 through 54.06, or 55.08 through 55.11 are used, each of the non- originating materials is spun, or dyed or printed entirely in either Party or non-Party which is a Member State of the ASEAN; or
 No required CTC, provided that the good is dyed or printed entirely and that the non-originati ng material of Chapter 60 is knitted or crocheted entirely in either Party or a non-Party which is a Member State of the ASEAN."
Chapter 61,,,"Articles of apparel and clothing accessories, knitted or crocheted","CC, provided that, where non- originating materials of heading 50.07, 51.11 through"
,,,,
,,,,"51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07,
 54.08, 55.12 through 55.16 or Chapter 60 are used, each of the non- originating materials is knitted or crocheted entirely in either Party or a non-Party which is a Member State of the ASEAN."
Chapter 62,,,"Articles of apparel and clothing accessories, not knitted or crocheted",
,62.01,,"Men’s or boys’ overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07,
 54.08, 55.12 through 55.16 or Chapter 60 are used, each of the non- originating materials is woven entirely in either Party or a non-Party which is a Member State of the ASEAN."
,62.02,,"Women’s or girls’ overcoats, car-coats, capes, cloaks, anoraks
 (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04.",
,62.03,,"Men’s or boys’ suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts
 (other than swimwear).",
,62.04,,"Women’s or girls’ suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).",
,62.05,,Men’s or boys’ shirts.,
,62.06,,"Women’s or girls’ blouses, shirts and shirt-blouses.",
,62.07,,"Men’s or boys’ singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles.",
,62.08,,"Women’s or girls’ singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés,bathrobes, dressing gowns",
,,,,
,,,and similar articles.,
,62.09,,Babies’ garments and clothing accessories.,
,62.1,,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.",
,62.11,,"Track suits, ski suits and swimwear; other garments.",
,62.12,,"Brassières, girdles, corsets, braces,suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted.","CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07,
 54.08, 55.12 through 55.16 or Chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in either Party or a non-Party which is a Member State of the ASEAN."
,62.13,,Handkerchiefs.,"CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07,
 54.08, 55.12 through 55.16 or chapter 60 are used, each of the non- originating"
,,,,
,62.14,,"Shawls, scarves, mufflers, mantillas, veils and the like.",materials is woven entirely in either Party or a non-Party which is a Member State of the ASEAN.
,62.15,,"Ties, bow ties and cravats.",
,62.16,6216,"Gloves, mittens and mitts.",
,62.17,,"Other made up clothing accessories; parts of garments or of clothing accessories, other than those of heading 62.12.",
Chapter 63,,,"Other made up textile articles; sets; worn clothing and worn textile
 articles; rags",
,63.01,,Blankets and traveling rugs.,"CC, provided that, where non- originating materials of heading 50.07, 51.11 through
 51.13, 52.08 through 52.12, 53.09 through
 53.11, 54.07,
 54.08, 55.12 through 55.16 or Chapter 60 are used, each of the non- originating materials is woven, or knitted or crocheted entirely in either Party or a non-Party which is a Member State of the ASEAN."
,63.02,,"Bed linen, table linen, toilet linen and kitchen linen.",
,63.03,,Curtains (including drapes) and interior blinds; curtain or bed valances.,
,63.04,,"Other furnishing articles, excluding those of heading 94.04.",
,63.05,,"Sacks and bags, of a kind used for the packing of goods.",
,63.06,,"Tarpaulins, awnings and sunblinds; tents; sails for boats, sailboards or landcraft; camping goods.",
,63.07,,"Other made up articles, including dress patterns.",
,63.08,6308,"Sets consisting of woven fabric and yarn, whether or not with accessories, for making up into rugs, tapestries,
 embroidered table cloths or serviettes, or similar textile articles, put up in packings for retail sale.",
,63.09,6309,Worn clothing and other worn articles.,WO
,63.1,,"Used or new rags, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials.",WO
"Section XII Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair (Chapter 64-67)",,,,
Chapter 64,,,"Footwear, gaiters and the like; parts of such articles",CC
Chapter 65,,,Headgear and parts thereof,
,65.01,6501,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons",CC
,,,,
,,,"(including slit manchons), of felt.",
,65.02,6502,"Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed.",CC
,65.04,6504,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed.",CTH
,65.05,,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed.",CTH
"Section XIII Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware (Chapter 68-70)",,,,
Chapter 70,,,Glass and glassware,
,70.18,,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass smallwares, and articles thereof other than imitation jewelry; glass eyes other than prosthetic articles; statuettes and other ornaments of lamp-worked glass, other than imitation jewelry; glass microspheres not exceeding 1 mm in diameter.",
,,7018.1,"- Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass smallwares",CC
,,7018.9,"- Other
 Note: Other thanglass beads, imitation pearls, imitation precious or semi-precious stones, similar glass smallwares, and glass microspheres not exceeding 1 mm in diameter.",CC
"Section XIV Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewelry; coin (Chapter 71)",,,,
Chapter 71,,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewelry; coin",
,71.01,,"Pearls, natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for convenience of transport.",CC
,71.02,,"Diamonds, whether or not worked, but not",
,,,,
,,,mounted or set.,
,,7102.1,- Unsorted,CC
,,,- Industrial:,
,,7102.21,"-- Unworked or simply sawn, cleaved or bruted",CC
,,7102.29,-- Other,CTH
,,,- Non-industrial:,
,,7102.31,"-- Unworked or simply sawn, cleaved or bruted",CC
,,7102.39,-- Other,CTH
,71.03,,"Precious stones (other than diamonds) and semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded precious stones (other than diamonds) and semi-precious stones, temporarily strung for convenience of transport.",
,,7103.1,"- Unworked or simply sawn or roughly
 shaped",CC
,,,- Otherwise worked:,
,,7103.91,"-- Rubies, sapphires and emeralds",CTH
,,7103.99,-- Other,CTH
,71.04,,"Synthetic or reconstructed precious or semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport.",CTH
,71.05,,Dust and powder of natural or synthetic precious or semi-precious stones.,CTH
,71.12,,"Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal or precious metal compounds, of a kind used principally for the recovery of precious metal.",WO
,71.13,,"Articles of jewelry and parts thereof, of precious metal or of metal clad with precious metal.",CTH except from heading 71.14 through 71.18.
,71.14,,"Articles of goldsmiths' or
 silversmiths’ wares and parts thereof, of precious metal or of metal clad with precious metal.",CTH except from heading 71.13 or 71.15 through 71.18.
,71.15,,Other articles of precious metal or of metal clad with precious metal.,"CTH except from heading 71.13, 71.14 or 71.16 through 71.18."
,71.16,,"Articles of natural or cultured pearls, precious or semi-precious stones",CTH except from heading
,,,,
,,,"(natural, synthetic or reconstructed).","71.13 through
 71.15, 71.17, 71.18, subheading 7101.22,
 7102.39,
 7103.91,
 7103.99 or
 7104.90."
,71.17,,Imitation jewelry.,CTH except from heading 71.13 through 71.16.
Section XV Base metals and articles of base metal (Chapter 72-83),,,,
Chapter 72,,,Iron and steel,
,72.01,,"Pig iron and spiegeleisen in pigs, blocks or other primary forms.",LVC 40% or CC
,72.03,,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99.94 %, in lumps, pellets or similar forms.",LVC 40% or CC
,72.04,,Ferrous waste and scrap; remelting scrap ingots of iron or steel.,WO
,72.06,,Iron and non-alloy steel in ingots or other primary forms (excluding iron of heading 72.03).,LVC 40% or CTH except from heading 72.01 or 72.03 through 72.29
,72.07,,Semi-finished products of iron or non-alloy steel.,LVC 40% or CTH except from heading 72.01 or 72.03 through 72.29.
,72.08,,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.",LVC 40% or CTH except from heading 72.01 or 72.03 through 72.29.
,72.09,,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.",LVC 40% or CTH except from heading 72.08 or 72.11.
,72.11,,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated.",LVC 40% or CTH except from heading 72.01 or 72.03 through 72.29.
,72.15,,Other bars and rods of iron or non-alloy steel.,LVC 40% or CTH except from heading 72.01 or 72.03
,,,,
,,,,through 72.29.
,72.16,,"Angles, shapes and sections of iron or non-alloy steel.",LVC 40% or CTH except from heading 72.01 or 72.03 through 72.29.
,72.17,,Wire of iron or non-alloy steel.,LVC 40% or CTH except from heading 72.13 through 72.15.
,72.2,,"Flat-rolled products of stainless steel, of a width of less than 600 mm.","LVC 40% or CTH except from subheading 7219.31 through
 7219.90."
Chapter 73,,,Articles of iron or steel,
,73.01,,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel.",LVC 40% or CC except from heading 72.07 through 72.09 or 72.11.
,73.02,,"Railway or tramway track construction material of iron or steel, the following:rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chairs wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails.",LVC 40% or CC except from heading 72.07 through 72.09.
,73.03,7303,"Tubes, pipes and hollow profiles, of cast iron.",LVC 40% or CC
,73.04,,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.",LVC 40% or CC except from heading 72.07 through 72.11.
,73.05,,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.",LVC 40% or CC except from heading 72.08 through 72.11.
,73.06,,"Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel.",
,,,- Line pipe of a kind used for oil or gas pipelines:,
,,7306.11,"-- Welded, of stainless steel","LVC 40% or CC except from heading 72.08,"
,,,,
,,,,72.09 or 72.11.
,,7306.19,-- Other,"LVC 40% or CC except from heading 72.08, 72.09 or 72.11."
,,,- Casing and tubing of a kind used in drilling for oil or gas:,
,,7306.21,"-- Welded, of stainless steel","LVC 40% or CC except from heading 72.08, 72.09 or 72.11."
,,7306.29,-- Other,"LVC 40% or CC except from heading 72.08, 72.09 or 72.11."
,,7306.3,"- Other, welded, of circular cross-section, of iron or non-alloy steel","LVC 40% or CC except from heading 72.08, 72.09 or 72.11."
,,7306.4,"- Other, welded, of circular cross-section, of stainless steel",LVC 40% or CC
,,7306.5,"- Other, welded, of circular cross-section, of other alloy steel","LVC 40% or CC except from heading 72.08, 72.09 or 72.11."
,,,"- Other, welded, of non-circular cross-section:",
,,7306.61,-- Of square or rectangular cross-section,"LVC 40% or CC except from heading 72.08, 72.09 or 72.11."
,,7306.69,-- Of other non-circular cross-section,"LVC 40% or CC except from heading 72.08, 72.09 or 72.11."
,,7306.9,- Other,"LVC 40% or CC except from heading 72.08, 72.09 or 72.11."
,73.07,,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or steel.",
,,,- Cast fittings:,
,,,,
,,7307.11,-- Of non-malleable cast iron,LVC 40% or CC
,,7307.19,-- Other,LVC 40% or CC
,,,"- Other, of stainless steel:",
,,7307.21,-- Flanges,LVC 40% or CC
,,7307.22,"-- Threaded elbows, bends and sleeves",LVC 40% or CC
,,7307.23,-- Butt welding fittings,LVC 40% or CC
,,7307.29,-- Other,LVC 40% or CC
,,,- Other:,
,,7307.91,-- Flanges,LVC 40% or CC
,,7307.92,"-- Threaded elbows, bends and sleeves",LVC 40% or CTH except from heading 73.04 through 73.06.
,,7307.93,-- Butt welding fittings,LVC 40% or CTH except from heading 73.04 through 73.06.
,,7307.99,-- Other,LVC 40% or CTH except from heading 73.04 through 73.06.
,73.08,,"Structures (excluding prefabricated buildings of heading 94.06) and parts of structures (for example, bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frame-works, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns), of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel.",LVC 40% or CTH except from heading 72.08 through 72.12 or 72.16.
,73.09,7309,"Reservoirs, tanks, vats and similar containers for any material (other than compressed or liquefied gas), of iron or steel, of a capacity exceeding 300 l, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment.","LVC 40% or CC except from heading 72.08 through 72.12, 72.25 or 72.26."
,73.1,,"Tanks, casks, drums, cans, boxes and similar containers, for any material (other than compressed or liquefied gas), of iron or steel, of a capacity not exceeding 300 l, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment.",
,,7310.1,- Of a capacity of 50 l or more,"LVC 40% or CC except from heading 72.08 through 72.12,
 72.25 or"
,,,,
,,,,72.26.
,,,- Of a capacity of less than 50 l:,
,,7310.21,-- Cans which are to be closed by soldering or crimping,LVC 40% or CC except from heading 72.08 through 72.12.
,,7310.29,-- Other,LVC 40% or CC except from heading 72.08 through 72.12.
,73.11,7311,"Containers for compressed or liquefied gas, of iron or steel.",LVC 40% or CC
,73.12,,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated.",LVC 40% or CC except from heading 72.13 or 72.17.
,73.13,7313,"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not, and loosely twisted double wire, of a kind used for fencing, of iron or steel.",LVC 40% or CC except from heading 72.13 through 72.15 or 72.17.
,73.14,,"Cloth (including endless bands), grill, netting and fencing, of iron or steel wire; expanded metal of iron or steel.",
,,,- Woven cloth:,
,,7314.12,"-- Endless bands for machinery, of stainless steel",LVC 40% or CC
,,7314.14,"-- Other woven cloth, of stainless steel",LVC 40% or CC
,,7314.19,-- Other,LVC 40% or CC
,,7314.2,"- Grill, netting and fencing, welded at the intersection of wire with a maximum cross-sectional dimension of 3 mm or more and having a mesh size of 100 cm2 or more",LVC 40% or CC except from heading 72.08 through 72.17.
,,,"- Other grill, netting and fencing, welded at the intersection:",
,,7314.31,-- Plated or coated with zinc,LVC 40% or CC except from heading 72.08 through 72.17.
,,7314.39,-- Other,LVC 40% or CC except from heading 72.08 through 72.17.
,,,"- Other cloth, grill, netting and fencing:",
,,7314.41,-- Plated or coated with zinc,LVC 40% or CC except from heading 72.08 through 72.17.
,,7314.42,-- Coated with plastics,LVC 40% or CC except from
,,,,
,,,,heading 72.08 through 72.17.
,,7314.49,-- Other,LVC 40% or CC except from heading 72.08 through 72.17.
,,7314.5,- Expanded metal,LVC 40% or CC except from heading 72.08 through 72.17.
,73.15,,"Chain and parts thereof, of iron or steel.",LVC 40% or CC except from heading 72.13 through 72.17.
,73.16,7316,"Anchors, grapnels and parts thereof, of iron or steel.",LVC 40% or CC
,73.17,7317,"Nails, tacks, drawing pins, corrugated nails, staples (other than those of heading 83.05) and similar articles, of iron or steel, whether or not with heads of other material, but excluding such articles with heads of copper.",LVC 40% or CC except from heading 72.13 through 72.17.
,73.19,,"Sewing needles, knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use in the hand, of iron or steel; safety pins and other pins of iron or steel, not elsewhere specified or included.",LVC 40% or CC except from heading 72.13 through 72.17.
,73.2,,"Springs and leaves for springs, of iron or steel.",LVC 40% or CC except from heading 72.08 through 72.17.
,73.23,,"Table, kitchen or other household articles and parts thereof, of iron or steel; iron or steelwool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel.",LVC 40% or CC
,73.24,,"Sanitary ware and parts thereof, of iron or steel.",LVC 40% or CC
,73.25,,Other cast articles of iron or steel.,LVC 40% or CC
,73.26,,Other articles of iron or steel.,
,,,"- Forged or stamped, but not further worked:",
,,7326.11,-- Grinding balls and similar articles for mills,LVC 40% or CC except from heading 72.07.
,,7326.19,-- Other,LVC 40% or CC except from heading 72.07.
,,7326.2,- Articles of iron or steel wire,LVC 40% or CC except from heading 72.13.
,,,,
Chapter 74,,,Copper and articles thereof,
,74.04,7404,Copper waste and scrap.,WO
Chapter 75,,,Nickel and articles thereof,
,75.03,7503,Nickel waste and scrap.,WO
Chapter 76,,,Aluminum and articles thereof,
,76.01,,Unwrought aluminum.,LVC 40% or CC
,76.02,7602,Aluminum waste and scrap.,WO
Chapter 78,,,Lead and articles thereof,
,78.02,7802,Lead waste and scrap.,WO
Chapter 79,,,Zinc and articles thereof,
,79.02,7902,Zinc waste and scrap.,WO
Chapter 80,,,Tin and articles thereof,
,80.02,8002,Tin waste and scrap.,WO
Chapter 81,,,"Other base metals; cermets; articles
 thereof",
,81.01,,"Tungsten (wolfram) and articles thereof, including waste and scrap.",
,,,"- Other:
 Note: Other than powders.",
,,8101.97,-- Waste and scrap,WO
,81.02,,"Molybdenum and articles thereof, including waste and scrap.",
,,,"- Other:
 Note: Other than powders.",
,,8102.97,-- Waste and scrap,WO
,81.03,,"Tantalum and articles thereof, including waste and scrap.",
,,8103.3,- Waste and scrap,WO
,81.04,,"Magnesium and articles thereof, including waste and scrap.",
,,8104.2,- Waste and scrap,WO
,81.05,,"Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt and articles thereof, including waste and scrap.",
,,8105.3,- Waste and scrap,WO
,81.07,,"Cadmium and articles thereof, including waste and scrap.",
,,8107.3,- waste and scrap,WO
,81.08,,"Titanium and articles thereof, including waste and scrap.",
,,8108.3,- Waste and scrap,WO
,81.09,,"Zirconium and articles thereof, including waste and scrap.",
,,8109.3,- Waste and scrap,WO
,81.1,,"Antimony and articles thereof, including waste and scrap.",
,,8110.2,- Waste and scrap,WO
,81.12,,"Beryllium, chromium, germanium, vanadium, gallium, hafnium, indium, niobium (columbium), rhenium and thallium, and articles of these metals,",
,,,,
,,,including waste and scrap.,
,,,-Beryllium:,
,,8112.13,-- Waste and scrap,WO
,,,- Chromium:,
,,8112.22,-- Waste and scrap,WO
,,,- Thallium:,
,,8112.52,-- Waste and scrap,WO
Chapter 83,,,Miscellaneous articles of base metal,
,83.05,,"Fittings for loose-leaf binders or files, letter clips, letter corners, paper clips, indexing tags and similar office articles, of base metal; staples in strips (for example, for offices, upholstery, packaging), of base metal.",
,,8305.1,"- Fittings for loose-leaf binders or
 files",LVC 40% or CTSH
,,8305.2,- Staples in strips,LVC 40% or CTSH
,83.06,,"Bells, gongs and the like,
 non-electric, of base metal; statuettes and other ornaments, of base metal; photograph, picture or similar frames, of base metal; mirrors of base metal.",
,,,- Statuettes and other ornaments:,
,,8306.21,-- Plated with precious metal,LVC 40% or CTSH
,83.08,,"Clasps, frames with clasps, buckles, buckle-clasps, hooks, eyes, eyelets and the like, of base metal, of a kind used for clothing, footwear, awnings, handbags, travel goods or other made up articles; tubular or bifurcated rivets, of base metal; beads and spangles, of base metal.",
,,8308.1,"- Hooks, eyes and eyelets",LVC 40% or CTSH
,,8308.2,- Tubular or bifurcated rivets,LVC 40% or CTSH
,83.11,,"Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carbides; wire and rods, of agglomerated base metal powder, used for metal spraying.",LVC 40% or CTSH
"Section XVI Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles (Chapter 84-85)",,,,
Chapter 84,,,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",
,84.01,,"Nuclear reactors; fuel elements (cartridges), non-irradiated, for nuclear reactors; machinery and",
,,,,
,,,apparatus for isotopic separation.,
,,8401.1,- Nuclear reactors,LVC 40% or CTSH
,,8401.2,"- Machinery and apparatus for isotopic separation, and parts thereof",LVC 40% or CTSH
,,8401.3,"- Fuel elements (cartridge), non-irradiated",LVC 40% or CTSH
,84.02,,Steam or other vapor generating boilers (other than central heating hot water boilers capable also of producing low pressure steam); super-heated water boilers.,
,,,- Steam or other vapor generating boilers:,
,,8402.11,-- Watertube boilers with a steam production exceeding 45 t per hour,LVC 40% or CTSH
,,8402.12,-- Watertube boilers with a steam production not exceeding 45 t per hour,LVC 40% or CTSH
,,8402.19,"-- Other vapor generating boilers, including hybrid boilers",LVC 40% or CTSH
,,8402.2,- Super-heated water boilers,LVC 40% or CTSH
,84.04,,"Auxiliary plant for use with boilers of heading 84.02 or 84.03 (for example, economizers, super-heaters, soot removers, gas recoverers); condensers for steam or other vapor power units.",
,,8404.1,- Auxiliary plant for use with boilers of heading 84.02 or 84.03,LVC 40% or CTSH
,,8404.2,- Condensers for steam or other vapor power units,LVC 40% or CTSH
,84.1,,"Hydraulic turbines, water wheels, and regulators therefor.",
,,,- Hydraulic turbines and water wheels:,
,,8410.11,"-- Of a power not exceeding 1,000 kW",LVC 40% or CTSH
,,8410.12,"-- Of a power exceeding 1,000 kW but not exceeding 10,000 kW",LVC 40% or CTSH
,,8410.13,"-- Of a power exceeding 10,000 kW",LVC 40% or CTSH
